EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM013,31,26-35,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,"$2,911.00",Upto 5k,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
RM014,34,26-35,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,"$2,661.00",Upto 5k,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
RM015,28,26-35,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,"$2,028.00",Upto 5k,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
RM016,29,26-35,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,"$9,980.00",5k-10k,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
RM017,32,26-35,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,"$3,298.00",Upto 5k,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
RM018,22,18-25,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,"$2,935.00",Upto 5k,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
RM019,53,46-55,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,"$15,427.00",15k+,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
RM020,38,36-45,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,"$3,944.00",Upto 5k,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
RM021,24,18-25,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,"$4,011.00",Upto 5k,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
RM022,36,36-45,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,"$3,407.00",Upto 5k,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
RM023,34,26-35,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,"$11,994.00",10k-15k,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,
RM024,21,18-25,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,"$1,232.00",Upto 5k,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,
RM025,34,26-35,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,"$2,960.00",Upto 5k,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,
RM026,53,46-55,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,"$19,094.00",15k+,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,
RM027,32,26-35,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,"$3,919.00",Upto 5k,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,
RM028,42,36-45,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,"$6,825.00",5k-10k,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,
RM029,44,36-45,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,"$10,248.00",10k-15k,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,
RM030,46,46-55,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,"$18,947.00",15k+,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,
RM031,33,26-35,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,"$2,496.00",Upto 5k,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,
RM032,44,36-45,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,"$6,465.00",5k-10k,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
RM033,30,26-35,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,"$2,206.00",Upto 5k,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
RM034,39,36-45,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,"$2,086.00",Upto 5k,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
RM035,24,18-25,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,"$2,293.00",Upto 5k,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
RM036,43,36-45,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,"$2,645.00",Upto 5k,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
RM037,50,46-55,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,"$2,683.00",Upto 5k,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
RM038,35,26-35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,"$2,014.00",Upto 5k,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
RM039,36,36-45,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,"$3,419.00",Upto 5k,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
RM040,33,26-35,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,"$5,376.00",5k-10k,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
RM041,35,26-35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,"$1,951.00",Upto 5k,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
RM042,27,26-35,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,"$2,341.00",Upto 5k,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
RM043,26,26-35,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,"$2,293.00",Upto 5k,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
RM044,27,26-35,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,"$8,726.00",5k-10k,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
RM045,30,26-35,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,"$4,011.00",Upto 5k,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
RM046,41,36-45,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,"$19,545.00",15k+,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
RM047,34,26-35,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,"$4,568.00",Upto 5k,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
RM048,37,36-45,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,"$3,022.00",Upto 5k,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
RM049,46,46-55,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,"$5,772.00",5k-10k,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
RM050,35,26-35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,"$2,269.00",Upto 5k,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
RM051,48,46-55,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,"$5,381.00",5k-10k,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
RM052,28,26-35,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,"$3,441.00",Upto 5k,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
RM053,44,36-45,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,"$5,454.00",5k-10k,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
RM054,35,26-35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,"$9,884.00",5k-10k,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
RM055,26,26-35,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,"$4,157.00",Upto 5k,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
RM056,33,26-35,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,"$13,458.00",10k-15k,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
RM057,35,26-35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,"$9,069.00",5k-10k,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
RM058,35,26-35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,"$4,014.00",Upto 5k,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
RM059,31,26-35,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,"$5,915.00",5k-10k,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
RM060,37,36-45,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,"$5,993.00",5k-10k,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
RM061,32,26-35,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,"$6,162.00",5k-10k,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
RM062,38,36-45,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,"$2,406.00",Upto 5k,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
RM063,50,46-55,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,"$18,740.00",15k+,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
RM064,59,55+,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,"$7,637.00",5k-10k,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
RM065,36,36-45,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,"$10,096.00",10k-15k,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
RM066,55,46-55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,"$14,756.00",10k-15k,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
RM067,36,36-45,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,"$6,499.00",5k-10k,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
RM068,45,36-45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,"$9,724.00",5k-10k,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
RM069,35,26-35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,"$2,194.00",Upto 5k,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
RM070,36,36-45,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,"$3,388.00",Upto 5k,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,
RM071,59,55+,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,"$5,473.00",5k-10k,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,
RM072,29,26-35,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,"$2,703.00",Upto 5k,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,
RM073,31,26-35,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,"$2,501.00",Upto 5k,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,
RM074,32,26-35,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,"$6,220.00",5k-10k,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,
RM075,36,36-45,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,"$3,038.00",Upto 5k,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,
RM076,31,26-35,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,"$4,424.00",Upto 5k,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,
RM077,35,26-35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,"$4,312.00",Upto 5k,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,
RM078,45,36-45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,"$13,245.00",10k-15k,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,
RM079,37,36-45,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,"$13,664.00",10k-15k,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
RM080,46,46-55,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,"$5,021.00",5k-10k,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
RM081,30,26-35,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,"$5,126.00",5k-10k,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
RM082,35,26-35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,"$2,859.00",Upto 5k,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
RM083,55,46-55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,"$10,239.00",10k-15k,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
RM084,38,36-45,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,"$5,329.00",5k-10k,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
RM085,34,26-35,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,"$4,325.00",Upto 5k,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
RM086,56,55+,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,"$7,260.00",5k-10k,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
RM087,23,18-25,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,"$2,322.00",Upto 5k,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
RM088,51,46-55,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,"$2,075.00",Upto 5k,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
RM089,30,26-35,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,"$4,152.00",Upto 5k,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
RM090,46,46-55,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,"$9,619.00",5k-10k,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
RM091,40,36-45,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,"$13,503.00",10k-15k,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
RM092,51,46-55,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,"$5,441.00",5k-10k,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
RM093,30,26-35,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,"$5,209.00",5k-10k,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
RM094,46,46-55,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,"$10,673.00",10k-15k,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
RM095,32,26-35,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,"$5,010.00",5k-10k,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
RM096,54,46-55,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,"$13,549.00",10k-15k,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
RM097,24,18-25,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,"$4,999.00",Upto 5k,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
RM098,28,26-35,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,"$4,221.00",Upto 5k,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
RM099,58,55+,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,"$13,872.00",10k-15k,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
RM100,44,36-45,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,"$2,042.00",Upto 5k,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
RM1000,42,36-45,No,Travel_Rarely,1147,Human Resources,10,3,Human Resources,1,1408,3,Female,31,3,4,Manager,1,Married,"$16,799.00",15k+,16616,0,Y,No,14,3,3,80,1,21,5,3,20,7,0,9
RM1001,52,46-55,No,Travel_Rarely,258,Research & Development,8,4,Other,1,1409,3,Female,54,3,1,Laboratory Technician,1,Married,"$2,950.00",Upto 5k,17363,9,Y,No,13,3,3,80,0,12,2,1,5,4,0,4
RM1002,37,36-45,No,Travel_Rarely,1462,Research & Development,11,3,Medical,1,1411,1,Female,94,3,1,Laboratory Technician,3,Single,"$3,629.00",Upto 5k,19106,4,Y,No,18,3,1,80,0,8,6,3,3,2,0,2
RM1003,35,26-35,No,Travel_Frequently,200,Research & Development,18,2,Life Sciences,1,1412,3,Male,60,3,3,Manufacturing Director,4,Single,"$9,362.00",5k-10k,19944,2,Y,No,11,3,3,80,0,10,2,3,2,2,2,2
RM1004,25,18-25,No,Travel_Rarely,949,Research & Development,1,3,Technical Degree,1,1415,1,Male,81,3,1,Laboratory Technician,4,Married,"$3,229.00",Upto 5k,4910,4,Y,No,11,3,2,80,1,7,2,2,3,2,0,2
RM1005,26,26-35,No,Travel_Rarely,652,Research & Development,7,3,Other,1,1417,3,Male,100,4,1,Laboratory Technician,1,Single,"$3,578.00",Upto 5k,23577,0,Y,No,12,3,4,80,0,8,2,3,7,7,0,7
RM1006,29,26-35,No,Travel_Rarely,332,Human Resources,17,3,Other,1,1419,2,Male,51,2,3,Human Resources,1,Single,"$7,988.00",5k-10k,9769,1,Y,No,13,3,1,80,0,10,3,2,10,9,0,9
RM1007,49,46-55,Yes,Travel_Frequently,1475,Research & Development,28,2,Life Sciences,1,1420,1,Male,97,2,2,Laboratory Technician,1,Single,"$4,284.00",Upto 5k,22710,3,Y,No,20,4,1,80,0,20,2,3,4,3,1,3
RM1008,29,26-35,Yes,Travel_Frequently,337,Research & Development,14,1,Other,1,1421,3,Female,84,3,3,Healthcare Representative,4,Single,"$7,553.00",5k-10k,22930,0,Y,Yes,12,3,1,80,0,9,1,3,8,7,7,7
RM1009,54,46-55,No,Travel_Rarely,971,Research & Development,1,3,Medical,1,1422,4,Female,54,3,4,Research Director,4,Single,"$17,328.00",15k+,5652,6,Y,No,19,3,4,80,0,29,3,2,20,7,12,7
RM101,37,36-45,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,"$2,073.00",Upto 5k,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
RM1010,58,55+,No,Travel_Rarely,1055,Research & Development,1,3,Medical,1,1423,4,Female,76,3,5,Research Director,1,Married,"$19,701.00",15k+,22456,3,Y,Yes,21,4,3,80,1,32,3,3,9,8,1,5
RM1011,55,46-55,No,Travel_Rarely,1136,Research & Development,1,4,Medical,1,1424,2,Male,81,4,4,Research Director,4,Divorced,"$14,732.00",10k-15k,12414,2,Y,No,13,3,4,80,2,31,4,4,7,7,0,0
RM1012,36,36-45,No,Travel_Rarely,1174,Sales,3,4,Marketing,1,1425,1,Female,99,3,2,Sales Executive,2,Single,"$9,278.00",5k-10k,20763,3,Y,Yes,16,3,4,80,0,15,3,3,5,4,0,1
RM1013,31,26-35,Yes,Travel_Frequently,667,Sales,1,4,Life Sciences,1,1427,2,Female,50,1,1,Sales Representative,3,Single,"$1,359.00",Upto 5k,16154,1,Y,No,12,3,2,80,0,1,3,3,1,0,0,0
RM1014,30,26-35,No,Travel_Rarely,855,Sales,7,4,Marketing,1,1428,4,Female,73,3,2,Sales Executive,1,Divorced,"$4,779.00",Upto 5k,12761,7,Y,No,14,3,2,80,2,8,3,3,3,2,0,2
